Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms,oppd
1,Thu,September 10,8:20PM ET,boxscore,W,,1-0,,Houston Texans,34,20,28,369,203,166,,21,360,242,118,1,22.94,-8.16,1.59,25
2,Sun,September 20,4:25PM ET,boxscore,W,OT,2-0,@,Los Angeles Chargers,23,20,23,414,289,125,,28,479,296,183,1,10.92,-13.33,3.80,28
3,Mon,September 28,8:15PM ET,boxscore,W,,3-0,@,Baltimore Ravens,34,20,29,517,385,132,1,16,228,70,158,1,26.62,4.74,-17.39,5
4,Mon,October 5,7:05PM ET,boxscore,W,,4-0,,New England Patriots,26,10,19,323,229,94,1,21,357,172,185,4,5.72,10.82,-3.78,7
5,Sun,October 11,1:00PM ET,boxscore,L,,4-1,,Las Vegas Raiders,32,40,21,413,333,80,1,22,490,346,144,1,10.45,-22.81,0.40,32
6,Mon,October 19,5:00PM ET,boxscore,W,,5-1,@,Buffalo Bills,26,17,27,466,221,245,1,20,206,122,84,1,21.56,-4.19,-8.48,15
7,Sun,October 25,4:25PM ET,boxscore,W,,6-1,@,Denver Broncos,43,16,17,286,185,101,1,24,411,234,177,4,3.75,15.83,6.31,23
8,Sun,November 1,1:00PM ET,boxscore,W,,7-1,,New York Jets,35,9,25,496,446,50,,13,221,128,93,1,21.48,8.29,-6.95,30
9,Sun,November 8,1:00PM ET,boxscore,W,,8-1,,Carolina Panthers,33,31,24,397,361,36,1,30,435,331,104,,20.48,-19.28,-1.85,20
11,Sun,November 22,8:20PM ET,boxscore,W,,9-1,@,Las Vegas Raiders,35,31,36,460,352,108,1,25,364,275,89,1,28.52,-19.95,-2.56,32
12,Sun,November 29,4:25PM ET,boxscore,W,,10-1,@,Tampa Bay Buccaneers,27,24,26,543,456,87,1,20,417,342,75,2,20.42,-12.72,-2.46,11
13,Sun,December 6,8:20PM ET,boxscore,W,,11-1,,Denver Broncos,22,16,25,447,313,134,,19,330,151,179,2,14.55,-6.11,0.21,23
14,Sun,December 13,1:00PM ET,boxscore,W,,12-1,@,Miami Dolphins,33,27,22,448,354,94,4,27,367,287,80,1,3.61,-10.40,14.14,2
