Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms,oppd
1,Sun,September 13,1:00PM ET,boxscore,L,,0-1,@,Jacksonville Jaguars,20,27,27,445,357,88,2,17,241,150,91,,9.78,-9.78,-7.99,27
2,Sun,September 20,1:00PM ET,boxscore,W,,1-1,,Minnesota Vikings,28,11,24,354,203,151,1,12,175,95,80,3,5.63,9.97,4.52,24
3,Sun,September 27,4:05PM ET,boxscore,W,,2-1,,New York Jets,36,7,21,353,234,119,,15,260,151,109,3,11.02,22.25,-0.99,30
4,Sun,October 4,1:00PM ET,boxscore,W,,3-1,@,Chicago Bears,19,11,18,289,186,103,,16,269,241,28,1,2.28,1.13,7.13,9
5,Sun,October 11,4:25PM ET,boxscore,L,,3-2,@,Cleveland Browns,23,32,15,308,240,68,2,22,385,261,124,2,-2.46,-9.88,4.93,26
6,Sun,October 18,1:00PM ET,boxscore,W,,4-2,,Cincinnati Bengals,31,27,23,430,371,59,2,22,398,300,98,1,16.00,-12.35,0.22,22
8,Sun,November 1,1:00PM ET,boxscore,W,,5-2,@,Detroit Lions,41,21,26,366,247,119,,20,326,297,29,2,21.92,3.03,-6.52,29
9,Sun,November 8,1:00PM ET,boxscore,L,,5-3,,Baltimore Ravens,10,24,20,339,227,112,2,19,266,156,110,1,-13.10,0.58,1.45,5
10,Thu,November 12,8:20PM ET,boxscore,W,,6-3,@,Tennessee Titans,34,17,26,430,297,133,,25,294,137,157,,17.58,-9.37,6.81,21
11,Sun,November 22,4:25PM ET,boxscore,W,OT,7-3,,Green Bay Packers,34,31,23,420,280,140,2,21,367,301,66,4,4.31,-6.48,4.30,17
12,Sun,November 29,1:00PM ET,boxscore,L,,7-4,,Tennessee Titans,26,45,27,336,280,56,1,28,449,220,229,,6.68,-23.98,-6.58,21
13,Sun,December 6,1:00PM ET,boxscore,W,,8-4,@,Houston Texans,26,20,25,371,262,109,,20,398,308,90,2,8.59,-5.59,1.28,25
14,Sun,December 13,4:05PM ET,boxscore,W,,9-4,@,Las Vegas Raiders,44,27,25,456,244,212,,26,424,345,79,3,30.23,-9.54,-4.58,32

