Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms,oppd
1,Sun,September 13,1:00PM ET,boxscore,W,,1-0,,Indianapolis Colts,27,20,17,241,150,91,,27,445,357,88,2,9.78,-9.78,7.99,12
2,Sun,September 20,1:00PM ET,boxscore,L,,1-1,@,Tennessee Titans,30,33,30,480,315,165,2,23,354,231,123,,18.68,-21.12,-3.05,21
3,Thu,September 24,8:20PM ET,boxscore,L,,1-2,,Miami Dolphins,13,31,22,318,246,72,2,23,294,156,138,,-5.61,-12.93,1.87,2
4,Sun,October 4,1:00PM ET,boxscore,L,,1-3,@,Cincinnati Bengals,25,33,25,429,340,89,1,28,505,300,205,1,13.22,-19.25,-4.81,22
5,Sun,October 11,1:00PM ET,boxscore,L,,1-4,@,Houston Texans,14,30,22,364,289,75,2,24,486,357,129,2,2.21,-18.24,-1.26,25
6,Sun,October 18,1:00PM ET,boxscore,L,,1-5,,Detroit Lions,16,34,16,275,231,44,2,25,403,223,180,1,-3.97,-15.35,-1.46,29
7,Sun,October 25,4:25PM ET,boxscore,L,,1-6,@,Los Angeles Chargers,29,39,15,294,154,140,1,29,484,349,135,,-2.30,-20.27,8.03,28
9,Sun,November 8,1:00PM ET,boxscore,L,,1-7,,Houston Texans,25,27,22,403,288,115,1,19,374,267,107,1,7.61,-9.52,-1.03,25
10,Sun,November 15,1:00PM ET,boxscore,L,,1-8,@,Green Bay Packers,20,24,16,260,151,109,1,16,395,315,80,2,-10.89,-1.82,8.95,17
11,Sun,November 22,1:00PM ET,boxscore,L,,1-9,,Pittsburgh Steelers,3,27,14,206,133,73,4,23,373,267,106,1,-22.20,-11.97,5.91,1
12,Sun,November 29,1:00PM ET,boxscore,L,,1-10,,Cleveland Browns,25,27,22,375,235,140,,25,459,252,207,1,11.93,-15.17,2.43,26
13,Sun,December 6,1:00PM ET,boxscore,L,OT,1-11,@,Minnesota Vikings,24,27,20,390,266,124,4,30,420,275,145,2,-4.24,2.36,-3.19,24
14,Sun,December 13,1:00PM ET,boxscore,L,,1-12,,Tennessee Titans,10,31,20,354,263,91,1,25,454,205,249,1,-3.00,-16.06,0.34,21

