Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms, oppd
1,Sun,September 13,1:00PM ET,boxscore,W,,1-0,,Cleveland Browns,38,6,23,381,270,111,1,20,306,168,138,3,16.62,8.32,8.64,26
2,Sun,September 20,4:25PM ET,boxscore,W,,2-0,@,Houston Texans,33,16,23,407,177,230,,18,304,253,51,2,15.93,5.68,-3.20,25
3,Mon,September 28,8:15PM ET,boxscore,L,,2-1,,Kansas City Chiefs,20,34,16,228,70,158,1,29,517,385,132,1,-4.74,-26.62,17.39,8
4,Sun,October 4,1:00PM ET,boxscore,W,,3-1,@,Washington Football Team,31,17,18,350,206,144,2,24,343,274,69,1,8.74,-2.58,9.39,6
5,Sun,October 11,1:00PM ET,boxscore,W,,4-1,,Cincinnati Bengals,27,3,17,332,171,161,1,12,205,135,70,3,2.28,28.69,-3.99,22
6,Sun,October 18,1:00PM ET,boxscore,W,,5-1,@,Philadelphia Eagles,30,28,17,355,173,182,,19,364,170,194,1,-0.70,-1.83,9.68,19
8,Sun,November 1,1:00PM ET,boxscore,L,,5-2,,Pittsburgh Steelers,24,28,25,457,192,265,4,19,221,173,48,1,3.94,-4.67,0.54,1
9,Sun,November 8,1:00PM ET,boxscore,W,,6-2,@,Indianapolis Colts,24,10,19,266,156,110,1,20,339,227,112,2,-0.58,13.10,-1.45,12
10,Sun,November 15,8:20PM ET,boxscore,L,,6-3,@,New England Patriots,17,23,19,357,242,115,1,25,308,135,173,,3.45,-13.95,1.86,7
11,Sun,November 22,1:00PM ET,boxscore,L,OT,6-4,,Tennessee Titans,24,30,21,306,177,129,1,26,423,250,173,1,7.48,-13.91,-0.86,21
12,Wed,December 2,3:40PM ET,boxscore,L,,6-5,@,Pittsburgh Steelers,14,19,10,219,90,129,2,22,334,266,68,2,-12.11,-2.03,10.71,1
13,Tue,December 8,8:05PM ET,boxscore,W,,7-5,,Dallas Cowboys,34,17,19,401,107,294,1,29,388,277,111,1,19.50,-10.45,3.43,31
14,Mon,December 14,8:15PM ET,boxscore,W,,8-5,@,Cleveland Browns,47,42,25,385,154,231,,33,493,355,138,1,24.92,-23.63,5.17,26
