Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms,oppd
1,Sun,September 13,4:25PM ET,boxscore,W,,1-0,,Tampa Bay Buccaneers,34,23,18,271,189,82,,23,310,224,86,3,1.98,-0.48,11.57, 11
2,Mon,September 21,8:15PM ET,boxscore,L,,1-1,@,Las Vegas Raiders,24,34,26,424,312,112,1,28,377,261,116,1,13.97,-22.48,0.31,32
3,Sun,September 27,8:20PM ET,boxscore,L,,1-2,,Green Bay Packers,30,37,21,397,275,122,1,24,369,271,98,,14.59,-19.67,-5.23,17
4,Sun,October 4,1:00PM ET,boxscore,W,,2-2,@,Detroit Lions,35,29,29,392,228,164,1,18,281,191,90,1,23.24,-11.85,-5.65,29
5,Mon,October 12,8:15PM ET,boxscore,W,OT,3-2,,Los Angeles Chargers,30,27,23,408,313,95,1,19,350,239,111,,3.09,-6.80,7.44,28
7,Sun,October 25,1:00PM ET,boxscore,W,,4-2,,Carolina Panthers,27,24,26,415,277,138,1,18,283,246,37,,21.29,-17.99,1.07,20
8,Sun,November 1,4:25PM ET,boxscore,W,OT,5-2,@,Chicago Bears,26,23,23,394,272,122,,18,329,233,96,1,6.13,-0.10,-4.30,9
9,Sun,November 8,8:20PM ET,boxscore,W,,6-2,@,Tampa Bay Buccaneers,38,3,27,420,282,138,2,13,194,186,8,3,13.73,19.57,-0.26,11
10,Sun,November 15,4:25PM ET,boxscore,W,,7-2,,San Francisco 49ers,27,13,17,237,123,114,2,21,281,232,49,4,-2.66,8.03,6.47,14
11,Sun,November 22,1:00PM ET,boxscore,W,,8-2,,Atlanta Falcons,24,9,24,376,210,166,1,14,248,196,52,2,12.49,4.08,-8.60,16
12,Sun,November 29,4:05PM ET,boxscore,W,,9-2,@,Denver Broncos,31,3,19,292,63,229,1,6,112,12,100,3,4.99,26.81,-4.76,23
13,Sun,December 6,1:00PM ET,boxscore,W,,10-2,@,Atlanta Falcons,21,16,23,424,217,207,1,21,332,262,70,1,8.37,0.46,-6.27,16
14,Sun,December 13,4:25PM ET,boxscore,L,,10-3,@,Philadelphia Eagles,21,24,20,358,262,96,2,21,413,167,246,1,4.23,-6.77,-1.33,19
