Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms, oppd
1,Mon,September 14,7:15PM ET,boxscore,W,,1-0,@,New York Giants,26,16,19,349,208,141,1,20,291,262,29,2,13.20,6.06,-5.36,10
2,Sun,September 20,1:00PM ET,boxscore,W,,2-0,,Denver Broncos,26,21,19,410,301,109,2,23,319,215,104,2,-0.36,6.02,3.90,23
3,Sun,September 27,1:00PM ET,boxscore,W,,3-0,,Houston Texans,28,21,25,387,218,169,,13,260,231,29,1,15.39,-4.41,-2.08,25
5,Sun,October 11,1:00PM ET,boxscore,W,,4-0,,Philadelphia Eagles,38,29,25,367,231,136,1,20,336,242,94,2,20.16,-14.47,3.43,19
6,Sun,October 18,1:00PM ET,boxscore,W,,5-0,,Cleveland Browns,38,7,18,277,148,129,,12,220,145,75,2,6.99,22.96,0.58,26
7,Sun,October 25,1:00PM ET,boxscore,W,,6-0,@,Tennessee Titans,27,24,23,362,268,94,3,15,292,210,82,,6.70,-6.99,3.88,21
8,Sun,November 1,1:00PM ET,boxscore,W,,7-0,@,Baltimore Ravens,28,24,19,221,173,48,1,25,457,192,265,4,4.67,-3.94,-0.54,5
9,Sun,November 8,4:25PM ET,boxscore,W,,8-0,@,Dallas Cowboys,24,19,20,355,309,46,,19,364,220,144,2,4.51,3.09,-5.60,31
10,Sun,November 15,4:25PM ET,boxscore,W,,9-0,,Cincinnati Bengals,36,10,22,377,333,44,,16,324,185,139,2,7.92,10.97,-0.05,22
11,Sun,November 22,1:00PM ET,boxscore,W,,10-0,@,Jacksonville Jaguars,27,3,23,373,267,106,1,14,206,133,73,4,11.97,22.20,-5.91,27
12,Wed,December 2,3:40PM ET,boxscore,W,,11-0,,Baltimore Ravens,19,14,22,334,266,68,2,10,219,90,129,2,2.03,12.11,-10.71,5
13,Mon,December 7,5:00PM ET,boxscore,L,,11-1,,Washington Football Team,17,23,17,326,305,21,1,18,318,273,45,,-5.70,7.02,-3.99,6
14,Sun,December 13,8:20PM ET,boxscore,L,,11-2,@,Buffalo Bills,15,26,14,224,177,47,2,21,334,230,104,2,-11.72,-3.18,0.16,15
