Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms,oppd
1,Thu,September 10,8:20PM ET,boxscore,L,,0-1,@,Kansas City Chiefs,20,34,21,360,242,118,1,28,369,203,166,,8.16,-22.94,-1.59,8
2,Sun,September 20,4:25PM ET,boxscore,L,,0-2,,Baltimore Ravens,16,33,18,304,253,51,2,23,407,177,230,,-5.68,-15.93,3.20,5
3,Sun,September 27,1:00PM ET,boxscore,L,,0-3,@,Pittsburgh Steelers,21,28,13,260,231,29,1,25,387,218,169,,4.41,-15.39,2.08,1
4,Sun,October 4,1:00PM ET,boxscore,L,,0-4,,Minnesota Vikings,23,31,20,386,290,96,1,24,410,248,162,,8.81,-17.07,1.44,24
5,Sun,October 11,1:00PM ET,boxscore,W,,1-4,,Jacksonville Jaguars,30,14,24,486,357,129,2,22,364,289,75,2,18.24,-2.21,1.26,27
6,Sun,October 18,1:00PM ET,boxscore,L,OT,1-5,@,Tennessee Titans,36,42,25,412,320,92,,31,607,344,263,2,22.14,-33.45,5.31,21
7,Sun,October 25,1:00PM ET,boxscore,L,,1-6,,Green Bay Packers,20,35,20,365,286,79,1,22,379,283,96,,1.70,-20.19,4.25,17
9,Sun,November 8,1:00PM ET,boxscore,W,,2-6,@,Jacksonville Jaguars,27,25,19,374,267,107,1,22,403,288,115,1,9.52,-7.61,1.03,27
10,Sun,November 15,1:00PM ET,boxscore,L,,2-7,@,Cleveland Browns,7,10,16,243,153,90,,20,356,125,231,,-0.68,-5.49,-2.92,22
11,Sun,November 22,1:00PM ET,boxscore,W,,3-7,,New England Patriots,27,20,21,399,344,55,,22,435,349,86,,15.69,-13.67,0.27,7
12,Thu,November 26,12:30PM ET,boxscore,W,,4-7,@,Detroit Lions,41,25,21,384,307,77,1,28,388,279,109,3,11.31,3.34,-0.56,29
13,Sun,December 6,1:00PM ET,boxscore,L,,4-8,,Indianapolis Colts,20,26,20,398,308,90,2,25,371,262,109,,5.59,-8.59,-1.28,12
14,Sun,December 13,1:00PM ET,boxscore,L,,4-9,@,Chicago Bears,7,36,17,263,155,108,2,23,410,241,169,,-8.67,-16.71,-2.22,9
