Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms, oppd
1,Sun,September 13,1:00PM ET,boxscore,W,,1-0,,Philadelphia Eagles,27,17,18,239,159,80,,19,265,208,57,3,-6.28,16.45,-1.28,19
2,Sun,September 20,4:05PM ET,boxscore,L,,1-1,@,Arizona Cardinals,15,30,19,316,199,117,2,22,438,278,160,1,-0.18,-8.92,-6.91,13
3,Sun,September 27,1:00PM ET,boxscore,L,,1-2,@,Cleveland Browns,20,34,19,309,206,103,5,19,300,142,158,,-4.68,-8.28,-1.14,26
4,Sun,October 4,1:00PM ET,boxscore,L,,1-3,,Baltimore Ravens,17,31,24,343,274,69,1,18,350,206,144,2,2.58,-8.74,-9.39,5
5,Sun,October 11,1:00PM ET,boxscore,L,,1-4,,Los Angeles Rams,10,30,10,108,70,38,,20,429,300,129,1,-15.55,-12.32,9.05,3
6,Sun,October 18,1:00PM ET,boxscore,L,,1-5,@,New York Giants,19,20,24,337,251,86,2,16,240,108,132,1,1.78,-4.14,-2.48,10
7,Sun,October 25,1:00PM ET,boxscore,W,,2-5,,Dallas Cowboys,25,3,21,397,189,208,,12,142,59,83,1,15.64,14.88,-10.05,31
9,Sun,November 8,1:00PM ET,boxscore,L,,2-6,,New York Giants,20,23,19,402,365,37,5,22,350,184,166,,2.73,-1.55,-4.12,10
10,Sun,November 15,1:00PM ET,boxscore,L,,2-7,@,Detroit Lions,27,30,34,464,375,89,1,21,372,267,105,,19.77,-15.43,-6.95,29
11,Sun,November 22,1:00PM ET,boxscore,W,,3-7,,Cincinnati Bengals,20,9,20,325,161,164,1,18,272,202,70,2,-0.93,11.45,-0.86,22
12,Thu,November 26,4:30PM ET,boxscore,W,,4-7,@,Dallas Cowboys,41,16,22,338,156,182,1,13,247,187,60,2,8.38,17.92,1.40,31
13,Mon,December 7,5:00PM ET,boxscore,W,,5-7,@,Pittsburgh Steelers,23,17,18,318,273,45,,17,326,305,21,1,-7.02,5.70,3.99,1
14,Sun,December 13,4:25PM ET,boxscore,W,,6-7,@,San Francisco 49ers,23,15,12,193,95,98,1,21,344,236,108,3,-19.42,25.61,0.12,14
